turbine,x,y,z,yaw,Cp,Ct,Ctprime,an,u4,v4,REWS,TI,idx,setpoint_0,setpoint_1,controller,wdir,simulator
0,11.259754449666435,-4.954410533109414,0.0,0.00022116960458000705,0.5980037046349955,0.894291799137328,2.0,0.3313102950985031,0.3934578223189897,-0.00002667865154592551,1.0,0.05600000000000001,0,2.0,0.00022116960458000705,yawcontrol,-2.5,MITWindfarm
1,15.683418470527178,-0.9008692874154534,0.0,0.00022116331294829442,0.4690197354498867,0.760566881124882,2.0,0.3055371422630494,0.3628501148628119,-0.000024601983715676717,0.9222084154413334,0.08092420382257567,1,2.0,0.00022116331294829442,yawcontrol,-2.5,MITWindfarm
2,20.107082491387924,3.1526719582785105,0.0,0.00022114441216326247,0.42458807155311684,0.7117407928775349,2.0,0.29556719912382035,0.35100999949017203,-0.000023795441247348018,0.8921159514002431,0.09993021517912185,2,2.0,0.00022114441216326247,yawcontrol,-2.5,MITWindfarm
3,24.53074651224867,7.206213203972473,0.0,0.00022110246687374578,0.3894440698643536,0.6719032296886154,2.0,0.28717635014186704,0.3410451863806222,-0.0000231118093429791,0.8667896964924664,0.11823537414264823,3,2.0,0.00022110246687374578,yawcontrol,-2.5,MITWindfarm
4,28.954410533109414,11.259754449666435,0.0,0.0002210560515873329,0.36174358880145074,0.6396521938959431,2.0,0.28019943428773475,0.3327595334341155,-0.000022541561114079662,0.8457311421313561,0.13482268837287956,4,2.0,0.0002210560515873329,yawcontrol,-2.5,MITWindfarm
5,7.206213203972473,-0.530746512248669,0.0,-0.3832157344248141,0.54049045823754,0.8359918036079582,2.0,0.3029121383470896,0.4478375454326232,0.07786718136419918,1.0,0.05600000000000001,5,2.0,-0.3832157344248141,yawcontrol,-2.5,MITWindfarm
6,11.629877224833217,3.522794733445293,0.0,-0.33349859071722454,0.44343827399461744,0.7326537587191673,2.0,0.2875514019840107,0.403266782838255,0.06436024679572817,0.9280928374569568,0.07826831329184235,6,2.0,-0.33349859071722454,yawcontrol,-2.5,MITWindfarm
7,16.05354124569396,7.576335979139255,0.0,-0.2517417399693192,0.4073440190172866,0.6923370308393966,2.0,0.28470384032887563,0.3718174842829719,0.048141638675339354,0.8922133894525082,0.09988307175595693,7,2.0,-0.2517417399693192,yawcontrol,-2.5,MITWindfarm
8,20.477205266554705,11.629877224833217,0.0,-0.15573088808781177,0.3746746028817557,0.6548062796299938,2.0,0.28097872999087764,0.3460663867504388,0.02942308960949497,0.8601794909223885,0.12599225139009798,8,2.0,-0.15573088808781177,yawcontrol,-2.5,MITWindfarm
9,24.900869287415453,15.683418470527178,0.0,0.00022108345455594777,0.3777512851575617,0.6583860679695788,2.0,0.2842730069473885,0.33759723106670614,-0.000022874513707392944,0.8580264819478037,0.11752121512974603,9,2.0,0.00022108345455594777,yawcontrol,-2.5,MITWindfarm
10,3.1526719582785105,3.8929175086120757,0.0,-0.4135840330454379,0.530757978986417,0.8259257753283865,2.0,0.298207387325083,0.45692588522468147,0.08270830366568489,1.0,0.05600000000000001,10,2.0,-0.4135840330454379,yawcontrol,-2.5,MITWindfarm
11,7.576335979139255,7.946458754306038,0.0,-0.33478911601512734,0.44269606357597774,0.7318360048296988,2.0,0.2872947780632378,0.4034230172004247,0.06455080327537252,0.9277655224480599,0.07841463163655525,11,2.0,-0.33478911601512734,yawcontrol,-2.5,MITWindfarm
12,12.0,12.0,0.0,-0.18790012444769838,0.4049072604949313,0.6895732004578993,2.0,0.2871550992488476,0.3595903686116996,0.03626751423260655,0.8848608475320163,0.10510417637087005,12,2.0,-0.18790012444769838,yawcontrol,-2.5,MITWindfarm
13,16.42366402086074,16.05354124569396,0.0,-0.25292035613487746,0.40818819479410284,0.6932932291054752,2.0,0.2848361100255311,0.3723208677205415,0.048388901482289595,0.8929497997692081,0.09832235000688574,13,2.0,-0.25292035613487746,yawcontrol,-2.5,MITWindfarm
14,20.84732804172149,20.107082491387924,0.0,0.00022114296299573236,0.4227765891632461,0.7097149478540051,2.0,0.2951462593460236,0.3505100993938174,-0.000023761264597895594,0.890845421071997,0.09969110758381451,14,2.0,0.00022114296299573236,yawcontrol,-2.5,MITWindfarm
15,-0.9008692874154534,8.31658152947282,0.0,-0.4118294731502908,0.5313422219488411,0.8265317675837308,2.0,0.2984891130091811,0.4563811019598856,0.08243661785401087,1.0,0.05600000000000001,15,2.0,-0.4118294731502908,yawcontrol,-2.5,MITWindfarm
