name,farm_cp,controller,time min,simulator
iter_01_wdir-2.5_LESnew_thrustcontrol,0.46413648036355154,thrustcontrol,140,LES
iter_01_wdir-2.5_LESnew_thrustcontrol,0.4443780631717639,thrustcontrol,150,LES
iter_01_wdir-2.5_LESnew_thrustcontrol,0.44771919689149225,thrustcontrol,160,LES
iter_01_wdir-2.5_LESnew_thrustcontrol,0.45944497570416176,thrustcontrol,170,LES
iter_01_wdir-2.5_LESnew_thrustcontrol,0.456413006364027,thrustcontrol,180,LES
iter_01_wdir-2.5_LESnew_thrustcontrol,0.45214778756176494,thrustcontrol,190,LES
iter_01_wdir-2.5_LESnew_thrustcontrol,0.4543057618253896,thrustcontrol,200,LES
iter_01_wdir-2.5_LESnew_thrustcontrol,0.45684920878907676,thrustcontrol,210,LES
iter_01_wdir-2.5_LESnew_thrustcontrol,0.46468072477690964,thrustcontrol,220,LES
iter_01_wdir-2.5_LESnew_thrustcontrol,0.4602470686522872,thrustcontrol,230,LES
iter_01_wdir-2.5_LESnew_thrustcontrol,0.4562672209243585,thrustcontrol,240,LES
iter_01_wdir-2.5_LESnew_yawcontrol,0.5374094694355409,yawcontrol,10,LES
iter_01_wdir-2.5_LESnew_yawcontrol,0.5473432465836815,yawcontrol,20,LES
iter_01_wdir-2.5_LESnew_yawcontrol,0.5443007234953778,yawcontrol,30,LES
iter_01_wdir-2.5_LESnew_yawcontrol,0.5393214867472065,yawcontrol,40,LES
iter_01_wdir-2.5_LESnew_yawcontrol,0.5403727592738735,yawcontrol,50,LES
iter_01_wdir-2.5_LESnew_yawcontrol,0.5402083882481562,yawcontrol,60,LES
iter_01_wdir-2.5_LESnew_yawcontrol,0.5403064599925693,yawcontrol,70,LES
iter_01_wdir-2.5_LESnew_yawcontrol,0.5499044455646811,yawcontrol,80,LES
iter_01_wdir-2.5_LESnew_yawcontrol,0.5424397921254884,yawcontrol,90,LES
iter_01_wdir-2.5_LESnew_yawcontrol,0.5408078953930887,yawcontrol,100,LES
iter_01_wdir-2.5_LESnew_yawcontrol,0.5436327054657822,yawcontrol,110,LES
iter_01_wdir-2.5_LESnew_yawcontrol,0.5512375570699375,yawcontrol,120,LES
iter_01_wdir-2.5_LESnew_yawcontrol,0.5464181612274825,yawcontrol,130,LES
iter_01_wdir-2.5_LESnew_yawcontrol,0.55178313099804,yawcontrol,140,LES
iter_01_wdir-2.5_LESnew_yawcontrol,0.5587429669710547,yawcontrol,150,LES
iter_01_wdir-2.5_LESnew_yawcontrol,0.541743907693896,yawcontrol,160,LES
iter_01_wdir-2.5_LESnew_yawcontrol,0.5484926222773162,yawcontrol,170,LES
iter_01_wdir-2.5_LESnew_yawcontrol,0.5490655882912856,yawcontrol,180,LES
iter_01_wdir-2.5_LESnew_yawcontrol,0.5536945929909558,yawcontrol,190,LES
iter_01_wdir-2.5_LESnew_yawcontrol,0.5444406776932657,yawcontrol,200,LES
iter_01_wdir-2.5_LESnew_yawcontrol,0.5362967837252465,yawcontrol,210,LES
iter_01_wdir-2.5_LESnew_yawcontrol,0.5548180897070457,yawcontrol,220,LES
iter_01_wdir-2.5_LESnew_yawcontrol,0.5409586877093653,yawcontrol,230,LES
