turbine_id,Ctprime,yaw,x,y,z,Cp,Cp_rms
0,2.0,0.0,16.21416498,0.0,0.0,0.632758270000647,0.026883765126768436
1,2.0,0.0,20.637829000000004,4.053541239999998,0.0,0.33397373591236995,0.01644043236140431
2,2.0,0.0,25.06149302,8.107082489999996,0.0,0.3774139728677546,0.019415553233411532
3,2.0,0.0,29.485157049999998,12.160623729999998,0.0,0.36987121539191403,0.01996191110715577
4,2.0,0.0,33.90882107,16.21416498,0.0,0.36226155810655414,0.016918504765102472
5,2.0,0.0,12.160623739999998,4.42366402,0.0,0.6336337937283437,0.02787275112998922
6,2.0,0.0,16.584287760000002,8.477205259999998,0.0,0.33205921574719827,0.022855751692082604
7,2.0,0.0,21.00795178,12.53074651,0.0,0.3939524658917134,0.013912923056319547
8,2.0,0.0,25.431615800000003,16.58428775,0.0,0.3671636614541581,0.017068452187587155
9,2.0,0.0,29.855279820000007,20.637828999999996,0.0,0.3742568743993332,0.02125440942747163
10,2.0,0.0,8.107082490000003,8.84732804,0.0,0.6196069474840035,0.022509936598807328
11,2.0,0.0,12.53074651,12.900869280000002,0.0,0.3378238819325344,0.015814011684921775
12,2.0,0.0,16.954410529999997,16.954410529999997,0.0,0.3826615541500605,0.017557911361356083
13,2.0,0.0,21.37807455,21.00795178,0.0,0.3893234097162413,0.0216553181366448
14,2.0,0.0,25.801738569999998,25.06149302,0.0,0.41085100849307643,0.018844022113396232
15,2.0,0.0,4.053541250000002,13.270992059999998,0.0,0.6299566744017232,0.02420022262951266
16,2.0,0.0,8.477205269999999,17.32453331,0.0,0.33475898330996,0.01590552483518733
17,2.0,0.0,12.900869290000003,21.37807455,0.0,0.34010243957215963,0.018371031009810794
18,2.0,0.0,17.32453331,25.431615799999996,0.0,0.3454156863695518,0.019627878020485896
19,2.0,0.0,21.748197330000004,29.485157039999997,0.0,0.3669358825418044,0.016496030715905958
20,2.0,0.0,0.0,17.69465608,0.0,0.6186232001775787,0.026104807593521354
21,2.0,0.0,4.423664019999997,21.748197329999996,0.0,0.6236770670514624,0.0368968091569469
22,2.0,0.0,8.84732804,25.801738569999998,0.0,0.6293514676956702,0.02801554734721401
23,2.0,0.0,13.270992059999998,29.85527982,0.0,0.6328757637225635,0.029407534250816745
24,2.0,0.0,17.69465608,33.90882106,0.0,0.6405908654405088,0.027624478430340313
