turbine_id,Ctprime,yaw,x,y,z,Cp,Cp_rms
0,2.10497217,0.00028302643122775486,16.21416498,0.0,0.0,0.6554437853220201,0.03610141840149016
1,2.10300967,0.00028096310298604717,20.637829000000004,4.053541239999998,0.0,0.5777267621265936,0.025589390908723822
2,2.1045263,0.0002823382479036935,25.06149302,8.107082489999996,0.0,0.6072887746802844,0.02853710466599767
3,2.10475617,0.00028232952125743354,29.485157049999998,12.160623729999998,0.0,0.6027648791537281,0.022067525653687893
4,2.10393726,0.0002806485946548378,33.90882107,16.21416498,0.0,0.5627012808466261,0.022940066631329786
5,2.73556057,-0.4648099583655932,12.160623739999998,4.42366402,0.0,0.5374789354396889,0.0246934916604142
6,2.18316361,-0.3812426034802871,16.584287760000002,8.477205259999998,0.0,0.489286086215978,0.02624783441864787
7,1.69524547,-0.20325765263985837,21.00795178,12.53074651,0.0,0.5497723666834393,0.022368760845204887
8,1.63957931,-0.11903042838334725,25.431615800000003,16.58428775,0.0,0.5436584826262579,0.026783708165903846
9,2.10454126,0.0002819080242430769,29.855279820000007,20.637828999999996,0.0,0.6034243129604915,0.019954343517645926
10,2.90749722,-0.5032206814363475,8.107082490000003,8.84732804,0.0,0.5148212556023878,0.024902454119001317
11,2.13634198,-0.35982977167266905,12.53074651,12.900869280000002,0.0,0.49290696200519507,0.021235350012135095
12,1.77028398,-0.1721961221898949,16.954410529999997,16.954410529999997,0.0,0.5432693978837486,0.02070765127686436
13,1.76723513,-0.24115844233945866,21.37807455,21.00795178,0.0,0.5436118420818793,0.022146837585065606
14,2.10458077,0.0002824026505530921,25.801738569999998,25.06149302,0.0,0.6092160410197257,0.022539334616778674
15,2.57529928,-0.4677545778721919,4.053541250000002,13.270992059999998,0.0,0.530831090492932,0.021998402100786126
16,2.11116953,-0.3272662443787609,8.477205269999999,17.32453331,0.0,0.49083520831877636,0.02382917312440183
17,2.44760357,-0.42787300772131787,12.900869290000003,21.37807455,0.0,0.47082394856803245,0.021170988945117326
18,2.23972295,-0.39187389020291413,17.32453331,25.431615799999996,0.0,0.48450449356292946,0.022131081367650886
19,2.1030095,0.00028096292845312195,21.748197330000004,29.485157039999997,0.0,0.570206524052312,0.02181957210563576
20,2.53904211,-0.4558976061061496,0.0,17.69465608,0.0,0.5299224315728751,0.02565318060960582
21,3.05766647,-0.5320187807731974,4.423664019999997,21.748197329999996,0.0,0.48857516719042743,0.0186166515502155
22,3.12227876,-0.5282671337613801,8.84732804,25.801738569999998,0.0,0.4898371843720657,0.024210644447105096
23,2.7376301,-0.465103909161675,13.270992059999998,29.85527982,0.0,0.5037244614902391,0.016811927976114343
24,2.10497217,0.00028302643122775486,17.69465608,33.90882106,0.0,0.6332390234793877,0.02205731119380553
