casename,ctp,yaw,phi_hub,Cp_1,Cp_2,Cp_T,ud
yaw_00_ct_01,0.4,0,-0.007339345,0.2984350244911552,0.483439714,0.3909373692177556,0.8330792113389837
yaw_01_ct_01,0.4,5,-0.006107687,0.2953011461068419,0.4873119345069717,0.3913065403069068,0.8196553414385793
yaw_02_ct_01,0.4,10,-0.007438481,0.2854395005738466,0.4994648877989217,0.3924521941863842,0.8106244368768434
yaw_03_ct_01,0.4,15,-0.00733852,0.270391183,0.5091867617832139,0.3897889723119024,0.796200821
yaw_04_ct_01,0.4,20,-0.007649156,0.2497266057563353,0.530890695,0.3903086502438626,0.7726363637251457
yaw_05_ct_01,0.4,25,-0.007355602,0.2264761410214699,0.543849703,0.3851629220300859,0.7537105760396621
yaw_06_ct_01,0.4,30,-0.008503336,0.1984000367863214,0.557560267,0.3779801517245772,0.7145125509743271
yaw_07_ct_01,0.4,35,-0.007736302,0.1702895890583567,0.5683906720525489,0.3693401305554528,0.6787328569156384
yaw_08_ct_01,0.4,40,-0.008862777,0.1388003701102529,0.5689071223528079,0.3538537462315304,0.6386459039923575
yaw_09_ct_01,0.4,45,-0.009138142,0.1110189212572478,0.5945170087131858,0.3527679649852168,0.5978367614725943
yaw_00_ct_03,0.8,0,-0.00700088,0.4636676340421076,0.3716287500125584,0.417648192,0.751014905
yaw_01_ct_03,0.8,5,-0.00655263,0.4597277436497489,0.4089328104623076,0.4343302770560282,0.7629188927914468
yaw_02_ct_03,0.8,10,-0.006632766,0.4445507871119703,0.4423167728096672,0.4434337799608187,0.7400988460138398
yaw_03_ct_03,0.8,15,-0.008861132,0.4236209302982563,0.4824482926058735,0.453034611,0.733530567
yaw_04_ct_03,0.8,20,-0.008241628,0.3924355587868073,0.5195522082849678,0.4559938835358876,0.7149629184415264
yaw_05_ct_03,0.8,25,-0.007001803,0.3599894995356365,0.539154388,0.4495719436885373,0.6966538012024482
yaw_06_ct_03,0.8,30,-0.008391728,0.3201452938660591,0.5514961840251804,0.4358207389456197,0.6734364752967126
yaw_07_ct_03,0.8,35,-0.007442637,0.2757669280129026,0.5563971811263223,0.4160820545696125,0.6371810026100556
