turbine_id,Cp,Ctprime,yaw
0,0.637374186819602,2.10455041,0.0002820366550089489
1,0.5496005342555861,2.10393662,0.00028231974741362237
2,0.5017702079383043,2.10392451,0.0002821553373980845
3,0.44499455128225174,2.10385974,0.00028346782499558425
4,0.4390151648552001,2.10377073,0.00028211467122651304
5,0.5335526475977631,2.40648396,-0.43464064773416494
6,0.4802039177381141,1.52715077,-0.10598280347356996
7,0.4425071657210909,1.58854577,-0.010906923080736028
8,0.4296589769834617,1.64875711,-0.009099491174231386
9,0.45910255570312103,2.10382174,0.00028193769484036077
10,0.5609564139739124,2.46013093,-0.36672791117541825
11,0.46994854165255384,1.54583063,-0.03152271345898366
12,0.4504879913412123,1.70304289,0.002744166173079117
13,0.4531304122273488,1.59784105,-0.016367840493135635
14,0.5294367158943376,2.1039283,0.0002819478177500224
15,0.5824027082878139,2.41590602,-0.3026351137441254
16,0.47119276799043724,1.57629168,-0.011738179421163775
17,0.48910261512049075,1.56845537,-0.04195092798154852
18,0.5037102712647713,1.53176479,-0.10921382086391249
19,0.5660744834548261,2.10393666,0.0002823195728806972
20,0.5836526293308181,2.50354641,-0.2932568891250274
21,0.5713056703287019,2.64029018,-0.32437123533255136
22,0.5525345365293769,2.53896441,-0.3763356088920416
23,0.5257416256315358,2.40746427,-0.43479301602506165
24,0.6382406967928093,2.10455041,0.0002820366550089489
