turbine_id,x,y,z,yaw,Cp,Ct,Ctprime,an,u4,v4,REWS,TI,idx,setpoint_0,setpoint_1,controller,wdir,simulator
0,11.259754449666433,-4.954410533109414,0.0,0.0,0.5984279847797211,0.9100422827686795,2.10455812220026,0.3424173842130877,0.37772905885501984,0.00002383236670663064,1.0,0.05299999999999999,0,2.10455812220026,0.0,thrustcontrol,-2.5,MITWindfarm
1,15.683418470527178,-0.9008692874154516,0.0,0.0,0.35067177862587806,0.6367323170112577,2.0992736094986704,0.2860791869065606,0.3167335034112703,0.000019899030173036226,0.8368157668745567,0.10961451322110898,1,2.0992736094986704,0.0,thrustcontrol,-2.5,MITWindfarm
2,20.10708249138792,3.1526719582785105,0.0,0.0,0.38890896858838025,0.6826332268005892,2.103131138741463,0.2964689557672499,0.32736401844612034,0.000020631005314314523,0.8661877349294431,0.1343167833397261,2,2.103131138741463,0.0,thrustcontrol,-2.5,MITWindfarm
3,24.53074651224867,7.206213203972472,0.0,0.0,0.4298195523842022,0.7299241138555648,2.1050421619838215,0.3066981606105321,0.338213501848259,0.000021347454230387787,0.8955532816091154,0.14216620007121114,3,2.1050421619838215,0.0,thrustcontrol,-2.5,MITWindfarm
4,28.954410533109414,11.259754449666433,0.0,0.0,0.44372842422479963,0.7456284436010714,2.1053916745261088,0.31000428167517824,0.34177706011928843,0.00002157841477297617,0.9051109035226204,0.1451864035373568,4,2.1053916745261088,0.0,thrustcontrol,-2.5,MITWindfarm
5,7.206213203972472,-0.5307465122486672,0.0,0.0,0.5835782269623254,0.8104638728724187,1.563157797336075,0.27994541583448107,0.4718415131624472,0.000013301712851978198,1.0,0.05299999999999999,5,1.563157797336075,0.0,thrustcontrol,-2.5,MITWindfarm
6,11.629877224833217,3.522794733445293,0.0,0.0,0.33388959143638364,0.5516729619727124,1.506049812728225,0.22681752465512106,0.40250724478190936,9.587064167454653e-6,0.8320485481992818,0.11297499457275023,6,1.506049812728225,0.0,thrustcontrol,-2.5,MITWindfarm
7,16.05354124569396,7.576335979139255,0.0,0.0,0.3772913686128119,0.6104979398609727,1.598449310176704,0.245623291585941,0.40131481104121763,0.0000123776654169792,0.8636292568455971,0.1382624176361413,7,1.598449310176704,0.0,thrustcontrol,-2.5,MITWindfarm
8,20.477205266554705,11.629877224833217,0.0,0.0,0.420586032290601,0.6626745764171268,1.6450959614823155,0.25951181485257335,0.40726732961913487,0.000013962563041650697,0.8941914106272862,0.14755926716358106,8,1.6450959614823155,0.0,thrustcontrol,-2.5,MITWindfarm
9,24.900869287415453,15.683418470527178,0.0,0.0,0.4213860237786619,0.7203179227951312,2.1048076255531987,0.30465724539062766,0.33601715359596057,0.000021204841723015306,0.8896572994549637,0.14262886547454837,9,2.1048076255531987,0.0,thrustcontrol,-2.5,MITWindfarm
10,3.1526719582785105,3.8929175086120775,0.0,0.0,0.5890501542650274,0.8322464222841469,1.6613122309390225,0.29221665783993844,0.45231341659593677,0.00001603976777176408,1.0,0.05299999999999999,10,1.6613122309390225,0.0,thrustcontrol,-2.5,MITWindfarm
11,7.576335979139255,7.946458754306039,0.0,0.0,0.33508587623189817,0.5638057741250834,1.596159592545437,0.23587892016724143,0.38616588437590893,0.000011844469351079814,0.8302074843822606,0.11433755962552776,11,1.596159592545437,0.0,thrustcontrol,-2.5,MITWindfarm
12,12.0,12.0,0.0,0.0,0.37948928343849475,0.6287425335198278,1.725915344240496,0.25874125935676556,0.3794964677331526,0.000015201185077297764,0.8623099113994976,0.14013553357689382,12,1.725915344240496,0.0,thrustcontrol,-2.5,MITWindfarm
13,16.42366402086074,16.05354124569396,0.0,0.0,0.37438582039216517,0.6083265721281711,1.6060962864723853,0.2457563930972379,0.3988641377937815,0.000012529106691211892,0.8611919790891714,0.13942255874648843,13,1.6060962864723853,0.0,thrustcontrol,-2.5,MITWindfarm
14,20.84732804172149,20.10708249138792,0.0,0.0,0.38712491927847603,0.6805305542525415,2.1030065763469756,0.2960037023983506,0.32687835219760997,0.0000205983355347871,0.8648612163767986,0.13441538953986287,14,2.1030065763469756,0.0,thrustcontrol,-2.5,MITWindfarm
15,-0.9008692874154516,8.316581529472822,0.0,0.0,0.5908737139289879,0.8406882130365275,1.7018274916968745,0.29715475396665897,0.4445919685245036,0.000017055459224765882,1.0,0.05299999999999999,15,1.7018274916968745,0.0,thrustcontrol,-2.5,MITWindfarm
16,3.522794733445293,12.370122775166783,0.0,0.0,0.3363800186003596,0.5707529232596279,1.6431758865218435,0.24070456084377587,0.3783719271333097,0.000012918908229825602,0.8300664456314333,0.11444358361931516,16,1.6431758865218435,0.0,thrustcontrol,-2.5,MITWindfarm
17,7.946458754306039,16.42366402086074,0.0,0.0,0.33561608136364085,0.5676969695010554,1.6242923654236656,0.23871297477084102,0.38137337117806014,0.000012493163491317532,0.8299017592708029,0.11456766301273318,17,1.6242923654236656,0.0,thrustcontrol,-2.5,MITWindfarm
18,12.370122775166783,20.477205266554705,0.0,0.0,0.3323372320782573,0.5497321124106124,1.5041644621565013,0.22628013740041683,0.4022475500559456,9.522156607249438e-6,0.8308241044991116,0.1138767919213737,18,1.5041644621565013,0.0,thrustcontrol,-2.5,MITWindfarm
