turbine_id,x,y,z,yaw,Cp,Ct,Ctprime,an,u4,v4,REWS,TI,idx,setpoint_0,setpoint_1,controller,wdir,simulator
0,11.259754449666433,-4.954410533109414,0.0,0.00028203666300506886,0.5984280140862777,0.9100412013081907,2.1045504131422876,0.3424165444081915,0.3777302154247728,-0.000040239246915566524,1.0,0.05299999999999999,0,2.1045504131422876,0.00028203666300506886,jointcontrol,-2.5,MITWindfarm
1,15.683418470527178,-0.9008692874154516,0.0,0.00028231966261752027,0.4844707858314126,0.7904164079622843,2.1039366244331936,0.31907457042764203,0.35212987061495576,-0.00003756244467287632,0.9320056789652511,0.0745748631928409,1,2.1039366244331936,0.00028231966261752027,jointcontrol,-2.5,MITWindfarm
2,20.10708249138792,3.1526719582785105,0.0,0.00028215541712810877,0.41657245000879417,0.7147218851204818,2.1039245087355547,0.3034111772943908,0.3348465863610715,-0.00003568555579147566,0.8862567222025176,0.1213063468494723,2,2.1039245087355547,0.00028215541712810877,jointcontrol,-2.5,MITWindfarm
3,24.53074651224867,7.206213203972472,0.0,0.0002834678593856678,0.44432501608035735,0.7461155727465699,2.103859741180143,0.30999861643730003,0.342131800055891,-0.000036730934824556505,0.9055163219535902,0.14029108243020105,3,2.103859741180143,0.0002834678593856678,jointcontrol,-2.5,MITWindfarm
4,28.954410533109414,11.259754449666433,0.0,0.00028211469340841844,0.4459307869585989,0.7479015623652123,2.103770725232784,0.310363200052311,0.3425551901619369,-0.000036496372985739534,0.9066058436615647,0.1449985013703977,4,2.103770725232784,0.00028211469340841844,jointcontrol,-2.5,MITWindfarm
5,7.206213203972472,-0.5307465122486672,0.0,-0.43464064770938604,0.5322001669082125,0.8800573914431635,2.4064839622115812,0.3332754162712803,0.4066184120351658,0.09266159737870566,1.0,0.05299999999999999,5,2.4064839622115812,-0.43464064770938604,jointcontrol,-2.5,MITWindfarm
6,11.629877224833217,3.522794733445293,0.0,-0.10598280344329508,0.4438398953677955,0.6700566619246425,1.5271507659419563,0.2506495959997784,0.4431608524958875,0.019195467399873774,0.9167787816966833,0.08215462511376824,6,1.5271507659419563,-0.10598280344329508,jointcontrol,-2.5,MITWindfarm
7,16.05354124569396,7.576335979139255,0.0,-0.010906923119087551,0.40707722345064135,0.6408914043380068,1.5885457727496763,0.2508923324583672,0.4135633579421696,0.0019699156627577,0.886103594532408,0.12874467027183945,7,1.5885457727496763,-0.010906923119087551,jointcontrol,-2.5,MITWindfarm
8,20.477205266554705,11.629877224833217,0.0,-0.009099491183015824,0.4359719364005338,0.6792420808770961,1.6487571133055645,0.2630124793575642,0.4115227422272265,0.0017095000591838291,0.9048896520140451,0.14549582713982648,8,1.6487571133055645,-0.009099491183015824,jointcontrol,-2.5,MITWindfarm
9,24.900869287415453,15.683418470527178,0.0,0.00028193767251966984,0.42644454943546145,0.7259577701441444,2.103821738030861,0.30577971197547865,0.33748442009604424,-0.00003592096911055214,0.8932030910235214,0.14063793261944457,9,2.103821738030861,0.00028193767251966984,jointcontrol,-2.5,MITWindfarm
10,3.1526719582785105,3.8929175086120775,0.0,-0.3667279111656533,0.551195502493539,0.9075206530271076,2.460130931609425,0.3493727857657167,0.37969974616283575,0.08138962720113402,1.0,0.05299999999999999,10,2.460130931609425,-0.3667279111656533,jointcontrol,-2.5,MITWindfarm
11,7.576335979139255,7.946458754306039,0.0,-0.03152271341466382,0.42510616758785824,0.6537106693595077,1.545830628206899,0.2499693102053879,0.42847930445748056,0.005688023920992855,0.9005896611733627,0.08987381273790612,11,1.545830628206899,-0.03152271341466382,jointcontrol,-2.5,MITWindfarm
12,12.0,12.0,0.0,0.002744166168210279,0.41097624182831566,0.660115109003269,1.7030428946983491,0.2634051545262165,0.39370388192602407,-0.0004925426371806482,0.885990191053136,0.13144410272633728,12,1.7030428946983491,0.002744166168210279,jointcontrol,-2.5,MITWindfarm
13,16.42366402086074,16.05354124569396,0.0,-0.01636784051034272,0.4062777930045083,0.6412980425978017,1.5978410479653395,0.25167232048924487,0.411571811954814,0.002954736337305089,0.8852813357368714,0.12910098185851637,13,1.5978410479653395,-0.01636784051034272,jointcontrol,-2.5,MITWindfarm
14,20.84732804172149,20.10708249138792,0.0,0.00028194775523377987,0.4141468682967663,0.7119451997474676,2.1039282990938157,0.30282148788593855,0.3341949281311821,-0.000035574438767677155,0.8845332332630751,0.1210941988230278,14,2.1039282990938157,0.00028194775523377987,jointcontrol,-2.5,MITWindfarm
15,-0.9008692874154516,8.316581529472822,0.0,-0.3026351138243829,0.5656648514588893,0.9177677822583625,2.415906019712917,0.3543075887480981,0.3693799519604091,0.06841914385305117,1.0,0.05299999999999999,15,2.415906019712917,-0.3026351138243829,jointcontrol,-2.5,MITWindfarm
16,3.522794733445293,12.370122775166783,0.0,-0.011738179344998817,0.42186399268723357,0.6546268787519632,1.5762916776269542,0.25261065263091137,0.42092406949708383,0.0021376848639553126,0.8970893186987967,0.09235649486288243,16,1.5762916776269542,-0.011738179344998817,jointcontrol,-2.5,MITWindfarm
17,7.946458754306039,16.42366402086074,0.0,-0.04195092796799285,0.43143622167632656,0.6633892929611439,1.56845536983379,0.25353060141391087,0.426361388130036,0.0076443967831253245,0.9044547916379343,0.08965520665092468,17,1.56845536983379,-0.04195092796799285,jointcontrol,-2.5,MITWindfarm
18,12.370122775166783,20.477205266554705,0.0,-0.10921382079356638,0.4463059161072187,0.6732129420281094,1.5317647873123115,0.25154483147563395,0.4433238365407685,0.01983451818547803,0.9184673950469577,0.0818016662690152,18,1.5317647873123115,-0.10921382079356638,jointcontrol,-2.5,MITWindfarm
19,16.79378679602753,24.53074651224867,0.0,0.0002823195249218829,0.4844952149945782,0.7904429827816274,2.103936657796391,0.3190799366282174,0.3521357846431529,-0.000037563046902553116,0.9320213439866375,0.07456800006712945,19,2.103936657796391,0.0002823195249218829,jointcontrol,-2.5,MITWindfarm
20,-4.954410533109414,12.740245550333567,0.0,-0.2932568891833766,0.5668911218128219,0.9300757457367179,2.5035464084955694,0.3633072802906077,0.3569155910810608,0.06730462185421128,1.0,0.05299999999999999,20,2.5035464084955694,-0.2932568891833766,jointcontrol,-2.5,MITWindfarm
21,-0.5307465122486672,16.79378679602753,0.0,-0.32437123527106543,0.5594653585024408,0.9384245351290164,2.640290179644882,0.37102463983583117,0.3485076443456645,0.07491012859661027,0.9999999999999947,0.05299999999999999,21,2.640290179644882,-0.32437123527106543,jointcontrol,-2.5,MITWindfarm
22,3.8929175086120775,20.84732804172149,0.0,-0.37633560888404355,0.5486749245592256,0.9143145116061216,2.5389644093267627,0.35474952239964036,0.3730136615307586,0.08408449467069883,0.9999999999999896,0.05299999999999999,22,2.5389644093267627,-0.37633560888404355,jointcontrol,-2.5,MITWindfarm
23,8.316581529472822,24.900869287415453,0.0,-0.4347930160743438,0.5321620078008489,0.8801348017723217,2.40746426621875,0.3333346913369402,0.40654534788994234,0.09270083684813014,0.9999999999999852,0.05299999999999999,23,2.40746426621875,-0.4347930160743438,jointcontrol,-2.5,MITWindfarm
24,12.740245550333567,28.954410533109414,0.0,0.000282036663003654,0.5984280140862432,0.9100412013081556,2.1045504131422867,0.3424165444081848,0.37773021542476576,-0.0000402392469152434,0.9999999999999808,0.05299999999999999,24,2.1045504131422867,0.000282036663003654,jointcontrol,-2.5,MITWindfarm
