turbine_id,x,y,z,yaw,Cp,Ct,Ctprime,an,u4,v4,REWS,TI,idx,setpoint_0,setpoint_1,controller,wdir,simulator
0,11.259754449666433,-4.954410533109414,0.0,0.00022124194111143198,0.5980037046349919,0.8942917991373245,2.0,0.3313102950878046,0.3934578223312274,-0.000026694774650395783,1.0,0.05299999999999999,0,2.0,0.00022124194111143198,yawcontrol,-2.5,MITWindfarm
1,15.683418470527178,-0.9008692874154516,0.0,0.00022069022841078313,0.4754889161713172,0.7675445584820021,2.0,0.30693548886714794,0.3645107646156556,-0.000024616891031177657,0.9264290707001761,0.07515729942344065,1,2.0,0.00022069022841078313,yawcontrol,-2.5,MITWindfarm
2,20.10708249138792,3.1526719582785105,0.0,0.0002209223989386505,0.40575807047908086,0.6905388380202273,2.0,0.29113160999456345,0.3457423779053481,-0.000023394858601390445,0.878727930491533,0.11813919558835675,2,2.0,0.0002209223989386505,yawcontrol,-2.5,MITWindfarm
3,24.53074651224867,7.206213203972472,0.0,0.00022726553363162303,0.4238521558064237,0.7109181403415575,2.0,0.29539633596442905,0.3508070875441644,-0.000024998129660385368,0.8916002344170526,0.1567334911662476,3,2.0,0.00022726553363162303,yawcontrol,-2.5,MITWindfarm
4,28.954410533109414,11.259754449666433,0.0,0.00022075795994041337,0.43615013769678845,0.7246039122073388,2.0,0.29822609684256485,0.35416765586829835,-0.000023931968086011462,0.900141351475741,0.15955987199510974,4,2.0,0.00022075795994041337,yawcontrol,-2.5,MITWindfarm
5,7.206213203972472,-0.5307465122486672,0.0,-0.3941184553979938,0.5370888931158725,0.8324805831779089,2.0,0.3012649040906445,0.451017266599158,0.07963861369858401,1.0,0.05299999999999999,5,2.0,-0.3941184553979938,yawcontrol,-2.5,MITWindfarm
6,11.629877224833217,3.522794733445293,0.0,-0.25251364372907925,0.4526364700015093,0.7427506274215065,2.0,0.2948437627820619,0.3852839605886565,0.05000870202212032,0.9242082030688719,0.0761189937248337,6,2.0,-0.25251364372907925,yawcontrol,-2.5,MITWindfarm
7,16.05354124569396,7.576335979139255,0.0,-0.018005284528508792,0.3905793722728256,0.6732084119031891,2.0,0.28742251178063166,0.34150230017467237,0.0035007949272034826,0.8676925811011541,0.13742775233061166,7,2.0,-0.018005284528508792,yawcontrol,-2.5,MITWindfarm
8,20.477205266554705,11.629877224833217,0.0,-0.012471357789075235,0.42770325372340484,0.7152178881747465,2.0,0.2962724998253237,0.35192875289916986,0.0025057934113545404,0.8943231418936127,0.15771854038443522,8,2.0,-0.012471357789075235,yawcontrol,-2.5,MITWindfarm
9,24.900869287415453,15.683418470527178,0.0,0.0002206473376310236,0.40748086182484455,0.6924920775728554,2.0,0.29154306279390535,0.3462310113621522,-0.000023373972665475718,0.8799698259883596,0.15620738878172416,9,2.0,0.0002206473376310236,yawcontrol,-2.5,MITWindfarm
10,3.1526719582785105,3.8929175086120775,0.0,-0.38348267082818727,0.5404084098461982,0.835907197096538,2.0,0.30287236779289234,0.447914286354555,0.07791098764368182,1.0,0.05299999999999999,10,2.0,-0.38348267082818727,yawcontrol,-2.5,MITWindfarm
