turbine_id,Cp,Ctprime,yaw
0,0.6358567958573609,2.0,0.0002212419502400808
1,0.5423957708183581,2.0,0.0002206902516635254
2,0.541980851389299,2.0,0.00022092238045404064
3,0.4481498504136566,2.0,0.0002272656050874888
4,0.4338102711424684,2.0,0.00022075797043850278
5,0.5446951944444138,2.0,-0.39411845535401113
6,0.48177170732324004,2.0,-0.2525136438137915
7,0.4798102396680256,2.0,-0.01800528448634596
8,0.4334221959900101,2.0,-0.01247135785694033
9,0.47307511912294586,2.0,0.00022064731656392633
10,0.5362321085320275,2.0,-0.3834826707433687
11,0.4751609673679366,2.0,-0.10612888124877659
12,0.4601448185026872,2.0,0.0034386740467509335
13,0.49963656563152786,2.0,-0.027773026975515088
14,0.5826826978481552,2.0,0.00022081382097456658
15,0.5755377947577842,2.0,-0.290688806951254
16,0.46788116073993424,2.0,-0.06696778859817949
17,0.4990033649870437,2.0,-0.12362563246709454
18,0.5192587901148574,2.0,-0.2564416916021737
19,0.5683559373036837,2.0,0.0002206904261964506
20,0.5830433627062243,2.0,-0.26952259575199633
21,0.56669760765452,2.0,-0.300368765836766
22,0.5462115039612067,2.0,-0.3880186627869129
23,0.5330731659666349,2.0,-0.3941411100767679
24,0.6298530535453246,2.0,0.0002212419502400808
