turbine_id,Cp,Ctprime,yaw
0,0.6416916700337867,2.10455812,0.0
1,0.35255152675366946,2.09927361,0.0
2,0.39924880611144603,2.10313114,0.0
3,0.3836698408105366,2.10504216,0.0
4,0.38789008663105917,2.10539167,0.0
5,0.6090710042209408,1.5631578,0.0
6,0.3281093911507608,1.50604981,0.0
7,0.3773905832240753,1.59844931,0.0
8,0.37026279366915305,1.64509596,0.0
9,0.3989766277257523,2.10480763,0.0
10,0.6035900272316235,1.66131223,0.0
11,0.3269018212203919,1.59615959,0.0
12,0.39391404861960244,1.72591534,0.0
13,0.38741303613156547,1.60609629,0.0
14,0.41996859064689,2.10300658,0.0
15,0.6038360095141905,1.70182749,0.0
16,0.339970727194889,1.64317589,0.0
17,0.3351768035431645,1.62429237,0.0
18,0.33909871698388966,1.50416446,0.0
19,0.37750356884298003,2.09927341,0.0
20,0.6094278779535806,1.70499809,0.0
21,0.5977846325019117,1.70871198,0.0
22,0.6071949357519707,1.68807889,0.0
23,0.6005397532098418,1.56315843,0.0
24,0.6348355774809556,2.10455812,0.0
