turbine_id,Cp,Ctprime,yaw
0,0.6343569027964431,2.0,0.0
1,0.3378514761910511,2.0,0.0
2,0.3826504264377382,2.0,0.0
3,0.36403431357105454,2.0,0.0
4,0.36576479465765527,2.0,0.0
5,0.6169677552967862,2.0,0.0
6,0.3387667059856985,2.0,0.0
7,0.3906859078739168,2.0,0.0
8,0.3743894781262999,2.0,0.0
9,0.37452053819717146,2.0,0.0
10,0.6083151132035209,2.0,0.0
11,0.3384552996237216,2.0,0.0
12,0.39140518673982216,2.0,0.0
13,0.3913250986159427,2.0,0.0
14,0.4120241142665781,2.0,0.0
15,0.6183067086611429,2.0,0.0
16,0.33737102578563594,2.0,0.0
17,0.3400368630245898,2.0,0.0
18,0.3508163771353756,2.0,0.0
19,0.37156835158471857,2.0,0.0
20,0.6116269744758077,2.0,0.0
21,0.613898943449245,2.0,0.0
22,0.6097402365389197,2.0,0.0
23,0.6238719589911425,2.0,0.0
24,0.6425013351665849,2.0,0.0
